music_names,music_artist,music_path,music_cover_music_genre
Until I Found You - Stephen Sanchez,Stephen Sanchez - Until I Found You,C:\Project UAS TERBARU\Lagu\Stephen Sanchez - Until I Found You.mp3,C:\Project UAS TERBARU\Gambar Lagu\Stephen Sanchez - Until I Found You.png,Pop
Stereo Love - Edward Maya ft Vika Jigulina,Edward Maya ft Vika Jigulina - Stereo Love,C:\Project UAS TERBARU\Lagu\Edward Maya ft Vika Jigulina - Stereo Love.mp3,C:\Project UAS TERBARU\Gambar Lagu\Edward Maya ft Vika Jigulina - Stereo Love.png,Pop
Perayaan Mati Rasa - Umay Shahab feat Natania Karin,Umay Shahab feat Natania Karin - Perayaan Mati Rasa,C:\Project UAS TERBARU\Lagu\Umay Shahab ft Natania Karin - Perayaan Mati Rasa.mp3,C:\Project UAS TERBARU\Gambar Lagu\Umay Shahab ft Natania Karin - Perayaan Mati Rasa.png,Pop
Risalah Hati - Dewa 19,Dewa 19 - Risalah Hati,C:\Project UAS TERBARU\Lagu\Dewa 19 - Risalah Hati.mp3,C:\Project UAS TERBARU\Gambar Lagu\Dewa 19 - Risalah Hati.png,Pop
Rewrite The Stars - Anne Marie & James Arthur,Anne Marie & James Arthur - Rewrite The Stars,C:\Project UAS TERBARU\Lagu\Anne Marie ft James Arthur - Rewrite The Stars.mp3,C:\Project UAS TERBARU\Gambar Lagu\Anne Marie ft James Arthur - Rewrite The Stars.png,Pop
As It Was - Harry Style,Harry Style - As It Was,C:\Project UAS TERBARU\Lagu\Harry Styles - As It Was.mp3,C:\Project UAS TERBARU\Gambar Lagu\Harry Styles - As It Was.png,Pop
Terlukis Indah - Rizky Febian ft Ziva Manoglya,Rizky Febian ft Ziva Manoglya - Terlukis Indah,C:\Project UAS TERBARU\Lagu\Rizky Febian ft Ziva Magnolya - Terlukis Indah.mp3,C:\Project UAS TERBARU\Gambar Lagu\Rizky Febian ft Ziva Manoglya - Terlukis Indah.png,Pop
Havana - Camila Cabello,Camila Cabello - Havana,C:\Project UAS TERBARU\Lagu\Camila Cabello ft Young Thug - Havana.mp3,C:\Project UAS TERBARU\Gambar Lagu\Camila Cabello ft Young Thug - Havana.png,Pop
Labirin - TULUS,TULUS - Labirin,C:\Project UAS TERBARU\Lagu\TULUS - Labirin.mp3,C:\Project UAS TERBARU\Gambar Lagu\TULUS - Labirin.png,Pop
STAY - The Kid LAROI Justin Bieber,The Kid LAROI Justin Bieber - STAY,C:\Project UAS TERBARU\Lagu\The Kid LAROI ft Justin Bieber - STAY.mp3,C:\Project UAS TERBARU\Gambar Lagu\The Kid LAROI ft Justin Bieber - STAY.png,Pop Rock
At My Worst - Pink Sweat$,Pink Sweat$ - At My Worst,C:\Project UAS TERBARU\Lagu\Pink Sweat$ - At My Worst.mp3,C:\Project UAS TERBARU\Gambar Lagu\Pink Sweat$ - At My Worst.png,R&B
Blank Space - Taylor Swift,Taylor Swift - Blank Space,C:\Project UAS TERBARU\Lagu\Taylor Swift - Blank Space.mp3,C:\Project UAS TERBARU\Gambar Lagu\Taylor Swift - Blank Space.png,Pop
